Taxa,GY-IF-XX-2014,GY-IF-ZX-2014,GY-IF-XX-2015,GY-IF-ZX-2015,GY-RN-XX-2014,GY-RN-ZX-2014,GY-RN-XX-2015,GY-RN-ZX-2015,GY-RP-XX-2014,GY-RP-ZX-2014,GY-RP-XX-2015,GY-RP-ZX-2015,TGW-IF-XX-2014,TGW-IF-ZX-2014,TGW-IF-XX-2015,TGW-IF-ZX-2015,TGW-RN-XX-2014,TGW-RN-ZX-2014,TGW-RN-XX-2015,TGW-RN-ZX-2015,TGW-RP-XX-2014,TGW-RP-ZX-2014,TGW-RP-XX-2015,TGW-RP-ZX-2015,GL-IF-XX-2014,GL-IF-ZX-2014,GL-IF-XX-2015,GL-IF-ZX-2015,GL-RN-XX-2014,GL-RN-ZX-2013,GL-RN-XX-2015,GL-RN-ZX-2015,GL-RP-XX-2013,GL-RP-ZX-2013,GL-RP-XX-2015,GL-RP-ZX-2015,GW-IF-XX-2014,GW-IF-ZX-2014,GW-IF-XX-2015,GW-IF-ZX-2015,GW-RN-XX-2014,GW-RN-ZX-2014,GW-RN-XX-2015,GW-RN-ZX-2015,GW-RP-XX-2014,GW-RP-ZX-2014,GW-RP-XX-2015,GW-RP-ZX-2015,GNS-IF-XX-2014,GNS-IF-ZX-2014,GNS-IF-XX-2015,GNS-IF-ZX-2015,GNS-RN-XX-2014,GNS-RN-ZX-2014,GNS-RN-XX-2015,GNS-RN-ZX-2015,GNS-RP-XX-2014,GNS-RP-ZX-2014,GNS-RP-XX-2015,GNS-RP-ZX-2015,TN-IF-XX-2014,TN-IF-ZX-2014,TN-IF-XX-2015,TN-IF-ZX-2015,TN-RN-XX-2014,TN-RN-ZX-2014,TN-RN-XX-2015,TN-RN-ZX-2015,TN-RP-XX-2014,TN-RP-ZX-2014,TN-RP-XX-2015,TN-RP-ZX-2015,PH-IF-XX-2014,PH-RN-XX-2014,PH-RP-XX-2014,PH-IF-ZX-2014,PH-RN-ZX-2014,PH-RP-ZX-2014,PH-IF-XX-2015,PH-RN-XX-2015,PH-RP-XX-2015,PH-IF-ZX-2015,PH-RN-ZX-2015,PH-RP-ZX-2015
AM3.11,1156.67,1351.15,1293.33,1239.33,1105.34,839.48,1142.66,674.83,1075.25,1110.32,1072.42,1011.17,49.46,43.53,38.47,39.59,41.32,42.7,35.18,38.95,42.07,36.44,32.63,35.25,6.56,6.46,6.06,6.478,5.83,5.9,5.56,5.83,5.84,5.88,5.59,5.85,3.4,3.18,2.95,3.06,3.04,3.07,2.78,3,3.04,2.86,2.7,2.81,41.89,43.56,47,37.67,35.61,30.69,31.45,25.41,35.61,44.48,34.37,32.87,36.33,36,40.67,37.5,41.17,27,38.5,23.75,39.33,33.83,39.5,30.33,74,74.33333333,74,74,65.33333333,66.66666667,78.88888889,81.88888889,78.44444444,69.22222222,66,68.38888889
AM3.12,1260,1298.65,1180,1118,1038.66,772.82,1032,628,1051.17,944.15,1035.58,1106.67,52.48,47.49,40.57,40.05,45.25,43.12,36.81,38.71,44.16,40.65,34.85,35.88,7.08,6.85,6.36,6.740333333,6.38,6.29,5.78,6.07,6.27,6.32,5.84,6.06,3.5,3.33,3.06,3.1,3.18,3.06,2.87,2.98,3.13,3,2.79,2.86,45.56,43.78,41.67,40.11,33.81,30.41,38.73,30.88,32.39,36.64,39.38,35.7,34.67,46.67,35.67,39,37.17,22.83,36.33,22.25,39.83,37,38,25.83,68.66666667,67.66666667,68,65.33333333,58.66666667,66,74.22222222,77.77777778,74.77777778,62.55555556,58.22222222,63.33333333
AM3.13,1091.67,1248.48,1111.67,1213.5,870.66,806.48,976,783.67,997.33,1020.48,918,1136.67,42.02,40.56,34.12,34.67,36.19,35.07,33.37,33.01,34.74,32.97,28.97,30.72,5.78,5.71,5.43,5.623333333,5.23,5.1,5.01,5.12,5.1,5.16,4.99,5.04,3.35,3.29,2.96,3.06,3.03,2.96,2.87,2.93,2.96,2.89,2.69,2.79,47.89,47,51.11,42.33,38.25,36.36,38.53,30.23,37.21,44.2,38.25,40.32,33,38.83,40.67,42.17,38.17,25.33,38.33,26.5,35.5,34.17,36.83,33.67,81.66666667,82,80.66666667,77.66666667,68.66666667,72,85,86.55555556,84.77777778,72.88888889,69.55555556,69.88888889
AM3.14,940,1317.82,1068.33,1214.33,841.34,819.48,932,796.67,976.08,941.65,919.42,1218.33,48.23,42.26,37.58,37.75,41.14,41.31,34.55,37.94,40.11,33.82,31.73,32.81,6.54,6.45,6,6.347,5.88,5.88,5.49,5.69,5.8,5.88,5.57,5.67,3.49,3.28,3.04,3.12,3.15,3.16,2.88,3.12,3.12,2.84,2.78,2.82,42.56,45.89,40,38.56,32.3,34.37,30.6,30.6,35.51,41.46,34.85,35.42,35.5,40.33,41.33,41.83,36.17,27.17,33.83,26.75,36,29.67,44.33,35.33,81.33333333,81,81.33333333,77.33333333,66.66666667,68.33333333,83.55555556,82.33333333,82.66666667,62.55555556,68.66666667,69.55555556
AM3.15,1011.67,1138.15,1050,985,NA,644.65,961.34,604.33,1041.25,889.82,949.17,949.67,44.21,41.09,39.02,37.47,36.79,39.55,35.85,36.44,37.01,37.68,33.31,32.88,6.71,6.55,6.12,6.430333333,5.96,5.89,5.62,5.76,5.93,6.05,5.65,5.74,3.32,3.2,3.06,3.07,2.97,3.01,2.9,2.94,2.94,2.94,2.81,2.78,46.11,43.22,41.11,38.78,33.72,30.97,31.26,28.42,32.49,38.16,33.24,33.63,38,44.33,44.17,38.33,40.83,24,37.33,25.08,34,39,40.67,31.67,73.66666667,73.66666667,74.66666667,69.66666667,62.33333333,63,76.77777778,77.88888889,77.88888889,65,62.88888889,64.38888889
AM3.16,1100,1381.48,1191.67,1195.5,953.34,790.15,956,631.33,1027.08,1091.65,1015.75,1184.17,48.55,44.76,42.05,40.61,41.17,40.77,36.67,36.84,41.03,37.81,35.36,34.12,6.9,6.81,6.25,6.656666667,6.15,6.11,5.74,5.98,6.14,6.19,5.79,5.96,3.35,3.2,3.09,3.08,3.02,2.97,2.82,2.9,2.99,2.84,2.8,2.77,42.67,35.33,35.11,43.56,35.33,33.06,30.6,29.56,31.64,37.97,32.39,38.73,36.67,36.83,37.17,38,41.67,28.17,41.83,24.08,38,33.67,39.33,32,82.33333333,82,80,77,67.66666667,69,82,82.33333333,82.66666667,72.44444444,69.77777778,71.66666667
AM3.17,1123.33,1305.65,1075,1141.17,796,666.82,964,599.33,1085.17,1008.15,1014.33,989.33,50.77,46.73,43.26,42.14,44.82,40.64,38.87,38.96,43.23,38.97,37.64,36.46,6.32,6.24,5.81,6.176,5.68,5.55,5.29,5.47,5.53,5.69,5.38,5.45,3.64,3.47,3.3,3.34,3.32,3.17,3.09,3.14,3.24,3.09,3.06,3.01,46.22,45.56,46.44,44.11,33.72,35.22,39.67,30.41,36.64,40.61,38.62,37.49,29,35.17,37,31,33,20.33,38.83,23.75,30.67,28.17,31.67,28.33,76.33333333,77,76.33333333,75,66,67.66666667,82.33333333,82.11111111,81,68.88888889,66.33333333,67.88888889
AM3.18,1116.67,1231.32,973.33,999.33,880,694.48,861.34,595.17,1061.08,921.98,927.92,1010.5,43.25,40.26,37.13,34.48,36.87,36.38,32.21,33.01,42.9,34.46,32.36,31.34,6.36,6.36,5.97,6.336,5.75,5.67,5.42,5.58,6,5.84,5.54,5.76,3.28,3.12,2.96,2.95,2.95,2.92,2.75,2.84,3.07,2.83,2.76,2.73,41,39.11,38.22,37.89,31.08,32.78,30.88,28.81,32.02,40.23,31.17,31.82,41,39,40.83,33.33,38,26.33,45.33,25.83,40,32.83,31.5,35,82.33333333,82.66666667,74,78.66666667,67.33333333,68,83.22222222,82.77777778,82.44444444,71.77777778,64.55555556,68
AM3.19,1236.67,1334.98,1133.33,1248.67,997.34,812.15,1001.34,635.25,1136.17,1031.32,1083.75,1196.33,52.59,47.64,41.88,41.46,43.47,43.14,36.74,40.99,43.22,39.94,36.18,36.24,6.78,6.73,6.24,6.666,6.02,6.08,5.51,6.01,6.05,6.2,5.75,5.99,3.45,3.28,3.07,3.11,3.09,3.07,2.91,3.04,3.03,2.92,2.83,2.81,39.89,38.11,42.89,39,32.96,29.18,31.73,26.35,31.26,33.81,33.34,36.18,42.67,43,52.5,44.83,39.33,29.83,48,26.17,42,35.17,41.67,32.17,70,71.66666667,72.66666667,69.33333333,63,59,75.44444444,76.44444444,78.33333333,65.22222222,63.33333333,65.11111111
AM3.20,1123.33,1207.48,1180,1126.83,874.66,772.65,1024,665.5,976.08,900.15,1017.17,1143.5,45.9,45.4,40.12,38.34,39.09,43.28,38.02,38.18,37.51,38.1,35.47,33.74,6.3,6.35,5.9,6.152333333,5.66,5.74,5.5,5.45,5.56,5.71,5.46,5.47,3.38,3.32,3.05,3.11,3,3.17,2.92,3.01,2.92,2.96,2.84,2.8,51.78,49.78,44.33,43.44,33.63,36.55,33.52,31.82,37.31,45.05,36.74,38.06,35,31.5,44,39.5,39.17,25.67,31.83,25.58,40.33,31.17,37.5,32.17,81.33333333,81,80,79.66666667,72.66666667,70,87.33333333,86.33333333,85.88888889,75.77777778,72.77777778,76.55555556
